,betaInP,omega,gen,w,dist
0,0.32396744694536894,0.03498522957034863,0,0.002,8169995
0,0.778738338269157,0.09152163990888557,0,0.002,20045446
0,0.2826511265593683,0.0830702250176587,0,0.002,18419248
0,0.5930853409232391,0.047283414408069505,0,0.002,11549553
0,0.9334821372777632,0.034733305567413976,0,0.002,8424717
0,0.33212644960704363,0.09107041214721485,0,0.002,19586679
0,0.6323141434729795,0.006128182707157027,0,0.002,1190030
0,0.6034190359162873,0.010924442614104003,0,0.002,2027699
0,0.8078590934559108,0.034601363124789654,0,0.002,8293648
0,0.8268697092521939,0.001921052241799781,0,0.002,881171
0,0.5199102582551054,0.09717505920716898,0,0.002,20544720
0,0.5568327958719324,0.08819382653314783,0,0.002,19187375
0,0.26734856375358584,0.023749321997758,0,0.002,5031363
0,0.3656573308255088,0.09542575702232264,0,0.002,20324668
0,0.2680269124168332,0.03315356878163011,0,0.002,7677141
0,0.8014269207834457,0.008411755472156968,0,0.002,1587546
0,0.34669733140516346,0.06196236347680251,0,0.002,14591878
0,0.7988433115321667,0.008022569002299485,0,0.002,1457917
0,0.9421801818146465,0.04964540606713367,0,0.002,12348320
0,0.21793808187962238,0.07463539626039649,0,0.002,16827241
0,0.4642483745615542,0.09704574378196051,0,0.002,20289338
0,0.14345053010953346,0.011396838692663636,0,0.002,2001077
0,0.16862182058029662,0.08835411092397366,0,0.002,18636543
0,0.5956123118615207,0.06746423382448771,0,0.002,15786180
0,0.7012962710876272,0.09589623594041383,0,0.002,20638118
0,0.4931994715098047,0.03894785891174582,0,0.002,9354813
0,0.258415497924229,0.0762637730342739,0,0.002,17393136
0,0.18153722399489702,0.07069549198301675,0,0.002,16285387
0,0.013596090365008973,0.07554657338512236,0,0.002,16989456
0,0.9266526181751965,0.07071259724292799,0,0.002,16816505
0,0.6872213749771771,0.03007565179113049,0,0.002,6993253
0,0.6037667104087784,0.09329641227257227,0,0.002,20082220
0,0.09237313843617545,0.06469185006823192,0,0.002,14974899
0,0.5811994618699112,0.0724750496343687,0,0.002,16907209
0,0.5922705036996814,0.025794813844912525,0,0.002,5826295
0,0.016682906014500176,0.09637016711797335,0,0.002,20100144
0,0.7223272318501143,0.08145478026427087,0,0.002,18785837
0,0.9314416240076179,0.02802094274435333,0,0.002,6497556
0,0.11024101225936311,0.08331788982617135,0,0.002,18083101
0,0.13326105998439297,0.06142296203729086,0,0.002,14169228
0,0.5054459078837049,0.0982665200783518,0,0.002,20401288
0,0.20989391170706861,0.05174583959500411,0,0.002,12377935
0,0.151970965897966,0.0782323459212412,0,0.002,17501512
0,0.9996289761558957,0.09535723671125083,0,0.002,20852296
0,0.39101352815359014,0.04858356975859608,0,0.002,11788848
0,0.5630421347815914,0.009895558562661999,0,0.002,1751548
0,0.09848743087317546,0.05706381307332207,0,0.002,13322501
0,0.6960404567788405,0.07750314614645518,0,0.002,17853813
0,0.12623594491037682,0.08700057475508467,0,0.002,18749643
0,0.4912208618329289,0.08370519451307538,0,0.002,18652281
0,0.7898340259427791,0.04257270356166307,0,0.002,10417125
0,0.782615825754324,0.014459173829575357,0,0.002,2846767
