,holding_id,destination,distance,originID,destID,size_origin,size_destination
379,35171056,35133186,13466,91,7,1,309
380,35133165,35133186,7892,92,7,13,309
381,35331010,35133186,11934,93,7,237,309
382,35171283,35133186,11534,94,7,150,309
383,35133389,35133186,1763,95,7,291,309
384,35133355,35133186,7635,96,7,17,309
385,35331005,35133186,9361,97,7,129,309
386,35133344,35133186,6797,98,7,87,309
387,35133394,35133186,6246,99,7,333,309
388,35171107,35133186,14380,100,7,174,309
389,35340078,35133186,11444,101,7,301,309
390,35133049,35133186,5329,102,7,219,309
391,35331089,35133186,8254,103,7,3,309
392,35133379,35133186,4291,104,7,519,309
393,35331095,35133186,14774,105,7,3,309
394,35133331,35133186,1809,106,7,162,309
395,35331004,35133186,10868,107,7,267,309
396,35133058,35133186,1775,108,7,169,309
397,35340012,35133186,13001,109,7,640,309
398,35133009,35133186,550,110,7,237,309
399,35133390,35133186,4537,111,7,103,309
400,35133081,35133186,4887,112,7,1,309
401,35133387,35133014,4040,0,36,2,206
402,35331013,35133014,8137,1,36,88,206
403,35340004,35133014,10956,3,36,499,206
404,35171134,35133014,14715,4,36,213,206
405,35133024,35133014,2848,5,36,126,206
406,35133089,35133014,4662,6,36,160,206
407,35133186,35133014,3717,7,36,309,206
408,35133375,35133014,3157,8,36,211,206
409,35331130,35133014,8820,9,36,64,206
410,35133382,35133014,3785,10,36,265,206
411,35171192,35133014,14850,11,36,69,206
412,35133356,35133014,6130,12,36,74,206
413,35340005,35133014,12179,14,36,402,206
414,35331008,35133014,10302,15,36,150,206
415,35133061,35133014,2579,16,36,34,206
416,35133371,35133014,1972,18,36,258,206
417,35133229,35133014,2848,19,36,101,206
418,35133220,35133014,2121,20,36,121,206
419,35133057,35133014,5851,21,36,322,206
420,35133029,35133014,7147,22,36,590,206
421,35331036,35133014,7523,23,36,9,206
422,35133048,35133014,5851,24,36,1181,206
423,35331082,35133014,10034,25,36,152,206
424,35133380,35133014,3389,26,36,250,206
425,35188007,35133014,5785,27,36,102,206
426,35331077,35133014,5746,28,36,221,206
427,35331028,35133014,6287,29,36,6,206
428,35340003,35133014,8766,30,36,1029,206
429,35171048,35133014,13163,31,36,251,206
430,35331012,35133014,5589,33,36,386,206
431,35133044,35133014,3376,34,36,146,206
432,35133168,35133014,909,35,36,54,206
433,35133014,35133014,0,36,36,206,206
434,35133292,35133014,7218,37,36,140,206
435,35340094,35133014,9948,38,36,1200,206
436,35331084,35133014,9135,39,36,166,206
437,35305149,35133014,8586,40,36,321,206
438,35331086,35133014,5466,41,36,2,206
439,35133360,35133014,6100,44,36,213,206
440,35171063,35133014,14180,45,36,273,206
441,35133075,35133014,3634,47,36,210,206
442,35133388,35133014,5544,48,36,8,206
443,35133273,35133014,1824,49,36,50,206
444,35133310,35133014,1972,50,36,227,206
445,35340139,35133014,9123,51,36,2,206
446,35331122,35133014,6014,52,36,184,206
447,35188059,35133014,4736,53,36,288,206
448,35340065,35133014,9992,54,36,449,206
449,35331074,35133014,7428,56,36,234,206
450,35133395,35133014,5851,57,36,344,206
451,35133336,35133014,2393,58,36,1870,206
452,35133314,35133014,6311,60,36,994,206
453,35133026,35133014,5183,61,36,130,206
454,35133339,35133014,3945,62,36,223,206
455,35331018,35133014,9956,63,36,103,206
456,35331067,35133014,10586,64,36,184,206
457,35171208,35133014,12727,65,36,107,206
458,35133170,35133014,5415,66,36,137,206
459,35133293,35133014,5124,67,36,193,206
460,35133227,35133014,3993,68,36,23,206
461,35133372,35133014,724,69,36,128,206
462,35133418,35133014,5422,70,36,5,206
463,35340141,35133014,9338,71,36,192,206
464,35340079,35133014,8893,72,36,260,206
465,35133038,35133014,3625,73,36,469,206
466,35133340,35133014,4611,74,36,271,206
467,35133033,35133014,1887,75,36,450,206
468,35331014,35133014,9101,76,36,361,206
469,35171008,35133014,13968,78,36,214,206
470,35133346,35133014,2216,80,36,489,206
471,35133046,35133014,909,81,36,106,206
472,35188048,35133014,4115,82,36,10,206
473,35305165,35133014,9618,83,36,236,206
474,35133364,35133014,2815,85,36,180,206
475,35133039,35133014,784,86,36,284,206
476,35171160,35133014,14652,87,36,284,206
477,35133012,35133014,6243,88,36,74,206
478,35133200,35133014,5415,89,36,305,206
479,35133254,35133014,3869,90,36,161,206
480,35133165,35133014,4249,92,36,13,206
481,35331010,35133014,8426,93,36,237,206
482,35171283,35133014,14850,94,36,150,206
483,35133389,35133014,2085,95,36,291,206
484,35133355,35133014,3936,96,36,17,206
485,35331005,35133014,6009,97,36,129,206
486,35133344,35133014,5444,98,36,87,206
487,35133394,35133014,5054,99,36,333,206
488,35340078,35133014,8608,101,36,301,206
489,35133049,35133014,3638,102,36,219,206
490,35331089,35133014,4595,103,36,3,206
491,35133379,35133014,4963,104,36,519,206
492,35331095,35133014,11173,105,36,3,206
493,35133331,35133014,2845,106,36,162,206
494,35331004,35133014,7332,107,36,267,206
495,35133058,35133014,4241,108,36,169,206
496,35340012,35133014,9669,109,36,640,206
497,35133009,35133014,3168,110,36,237,206
498,35133390,35133014,2095,111,36,103,206
499,35133081,35133014,5931,112,36,1,206
500,35133387,35331014,9710,0,76,2,361
501,35331013,35331014,1457,1,76,88,361
502,35340004,35331014,11304,3,76,499,361
503,35133024,35331014,9573,5,76,126,361
504,35133089,35331014,11522,6,76,160,361
505,35133186,35331014,12657,7,76,309,361
506,35133375,35331014,11969,8,76,211,361
507,35331130,35331014,1069,9,76,64,361
508,35133382,35331014,5898,10,76,265,361
509,35133356,35331014,11603,12,76,74,361
510,35340005,35331014,12344,14,76,402,361
511,35331008,35331014,2933,15,76,150,361
512,35133061,35331014,11569,16,76,34,361
513,35133371,35331014,8519,18,76,258,361
514,35133229,35331014,9573,19,76,101,361
515,35133220,35331014,8443,20,76,121,361
516,35133057,35331014,9890,21,76,322,361
517,35331036,35331014,1751,23,76,9,361
518,35133048,35331014,9890,24,76,1181,361
519,35331082,35331014,1028,25,76,152,361
520,35133380,35331014,12319,26,76,250,361
521,35188007,35331014,4685,27,76,102,361
522,35331077,35331014,3688,28,76,221,361
523,35331028,35331014,2819,29,76,6,361
524,35340003,35331014,10620,30,76,1029,361
525,35331012,35331014,4176,33,76,386,361
526,35133044,35331014,10895,34,76,146,361
527,35133168,35331014,9667,35,76,54,361
528,35133014,35331014,9101,36,76,206,361
529,35133292,35331014,13459,37,76,140,361
530,35340094,35331014,11867,38,76,1200,361
531,35331084,35331014,631,39,76,166,361
532,35305149,35331014,12069,40,76,321,361
533,35331086,35331014,4492,41,76,2,361
534,35133360,35331014,12711,44,76,213,361
535,35133075,35331014,9547,47,76,210,361
536,35133388,35331014,7610,48,76,8,361
537,35133273,35331014,10206,49,76,50,361
538,35133310,35331014,8519,50,76,227,361
539,35340139,35331014,9266,51,76,2,361
540,35331122,35331014,4117,52,76,184,361
541,35188059,35331014,5316,53,76,288,361
542,35340065,35331014,8679,54,76,449,361
543,35331074,35331014,2171,56,76,234,361
